Date,Id,accounting standards
2020,111,IFRS
2008,112,IFRS
2009,112,IFRS
2010,112,IFRS
2011,112,IFRS
2012,112,IFRS
2013,112,IFRS
2014,112,IFRS
2015,112,IFRS
2016,112,IFRS
2017,112,IFRS
2018,112,IFRS
2019,112,IFRS
2020,112,
2008,113,IFRS
2009,113,IFRS
2010,113,IFRS
2011,113,IFRS
2012,113,IFRS
2013,113,IFRS
2014,113,IFRS
2015,113,IFRS
2016,113,IFRS
2017,113,IFRS
2018,113,IFRS
2019,113,IFRS
2020,113,IFRS
2008,114,IFRS
2009,114,IFRS
2010,114,IFRS
2011,114,IFRS
2012,114,IFRS
2013,114,IFRS
2014,114,IFRS
2015,114,IFRS
2016,114,IFRS
2017,114,IFRS
2018,114,IFRS
2019,114,IFRS
2020,114,
2008,115,IFRS
2009,115,IFRS
2010,115,IFRS
2011,115,IFRS
2012,115,IFRS
2013,115,IFRS
2014,115,IFRS
2015,115,IFRS
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,IFRS
2009,116,IFRS
2010,116,IFRS
2011,116,IFRS
2012,116,IFRS
2013,116,IFRS
2014,116,IFRS
2015,116,IFRS
2016,116,IFRS
2017,116,IFRS
2018,116,IFRS
2019,116,IFRS
2020,116,IFRS
2008,117,IFRS
